Designator,Mid X,Mid Y,Rotation,Layer
D1,109.22,-122.8,90.0,bottom
D10,95.415,-75.81,0.0,bottom
D2,128.27,-122.8,90.0,bottom
D3,147.32,-122.8,90.0,bottom
D4,109.22,-141.85,90.0,bottom
D5,128.27,-141.85,90.0,bottom
D6,147.32,-141.85,90.0,bottom
D7,111.60125,-104.0675,90.0,bottom
D8,125.88875,-104.0675,90.0,bottom
D9,143.6,-75.81,0.0,bottom
J1,119.377775,-75.887,0.0,top
S1,99.695,-120.9525,0.0,top
S2,118.745,-120.9525,0.0,top
S3,137.795,-120.9525,0.0,top
S4,99.695,-140.0025,0.0,top
S5,118.745,-140.0025,0.0,top
S6,137.795,-140.0025,0.0,top
SW1,99.445,-103.75,0.0,top
SW2,138.045,-103.75,180.0,top
U1,168.91,-124.945,180.0,bottom
